# Program:featureCounts v2.0.4; Command:"/media/secondary/apps/subread-2.0.4-Linux-x86_64/bin/featureCounts" "-a" "../1_refs/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-s" "2" "-T" "6" "-p" "-o" "allSamples.featureCounts.txt" "RNA_S6614Nr10.bam" "RNA_S6614Nr11.bam" "RNA_S6614Nr12.bam" "RNA_S6614Nr13.bam" "RNA_S6614Nr14.bam" "RNA_S6614Nr15.bam" "RNA_S6614Nr16.bam" "RNA_S6614Nr17.bam" "RNA_S6614Nr18.bam" "RNA_S6614Nr1.bam" "RNA_S6614Nr2.bam" "RNA_S6614Nr3.bam" "RNA_S6614Nr4.bam" "RNA_S6614Nr5.bam" "RNA_S6614Nr6.bam" "RNA_S6614Nr7.bam" "RNA_S6614Nr8.bam" "RNA_S6614Nr9.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_S6614Nr10.bam	RNA_S6614Nr11.bam	RNA_S6614Nr12.bam	RNA_S6614Nr13.bam	RNA_S6614Nr14.bam	RNA_S6614Nr15.bam	RNA_S6614Nr16.bam	RNA_S6614Nr17.bam	RNA_S6614Nr18.bam	RNA_S6614Nr1.bam	RNA_S6614Nr2.bam	RNA_S6614Nr3.bam	RNA_S6614Nr4.bam	RNA_S6614Nr5.bam	RNA_S6614Nr6.bam	RNA_S6614Nr7.bam	RNA_S6614Nr8.bam	RNA_S6614Nr9.bam
YDL176W	IV	142097	144223	+	2127	1105	1504	752	1599	1389	962	1114	1382	1054	1321	1364	2471	2011	1036	1170	1285	1652	849
YDR358W	IV	1190059	1191732	+	1674	3019	2707	1583	1795	2664	1858	1276	2229	1979	3315	3418	6835	3221	1874	3143	1680	3737	1835
YDR544C	IV	1525095	1525523	-	429	0	0	0	3	4	3	3	4	4	2	8	22	5	0	9	0	4	7
YDR460W	IV	1383811	1384776	+	966	646	768	605	870	617	587	553	787	604	1330	1012	2489	1187	365	1117	726	1409	791
snR84	IV	1492477	1493026	-	550	841	1062	925	1459	1060	1208	2441	1466	1439	1442	1350	1485	1445	1157	1145	2358	1226	1136
YDR034W-B	IV	521314	521469	+	156	3036	2279	2240	560	3353	1849	362	213	912	305	707	963	358	994	554	172	434	141
YDL028C	IV	400997	403291	-	2295	798	1014	947	1214	773	1072	1199	1315	1161	1670	1348	2978	1562	472	1390	1350	1827	1004
YDR061W	IV	574164	575783	+	1620	813	1363	949	1729	815	1004	1044	1426	898	1928	1481	4320	1912	627	1943	1404	2446	1282
YDR060W	IV	570649	573726	+	3078	1530	1740	1639	2539	1409	2444	2961	2035	2503	2618	1361	3504	4587	1278	1365	3158	1892	1719
YDR169C-A	IV	794574	794723	-	150	12	14	24	40	7	16	23	32	6	37	49	45	28	5	32	33	55	20
YDR363W	IV	1199183	1200553	+	1371	474	533	359	652	387	390	520	751	387	779	988	1454	674	300	711	621	1244	422
YDR422C	IV	1315326	1317773	-	2448	1175	2193	1388	2222	1073	1280	1622	2539	1723	1742	2559	3151	1554	628	1788	1892	3238	1458
YDR119W	IV	688227	690533	+	2307	1161	1740	1724	2090	1174	1792	2263	1968	2112	2719	1540	3997	2952	684	2060	2665	2407	1941
tR(ACG)D	IV	619969	620041	-	73	548	365	184	79	450	156	117	225	195	120	318	69	88	223	138	152	121	85
YDR097C	IV	640109	643837	-	3729	857	954	992	864	697	1422	758	631	1135	1156	478	2209	1557	343	799	741	822	814
YDR042C	IV	540601	541203	-	603	122	117	107	63	268	192	171	78	225	112	80	265	180	159	87	103	112	143
YDL160C	IV	170410	171930	-	1521	898	1009	773	1192	732	862	923	1173	880	2374	1556	3938	1449	468	1591	1166	1975	889
YDR425W	IV	1320064	1321941	+	1878	1243	1170	773	1444	1697	1039	2402	1570	1437	1840	2271	3763	2531	2379	1394	1935	2320	1008
snR13	IV	1402919	1403042	+	124	487	239	177	203	665	329	496	475	546	1522	665	893	313	676	495	697	544	261
YDR228C	IV	921926	923806	-	1881	841	1286	1044	1370	1092	1243	990	1282	1374	1542	1511	3040	1489	779	1087	1207	1996	1152
YDR319C	IV	1105003	1105827	-	825	1841	2407	1816	2286	2241	1696	2088	2488	1815	2336	3876	3405	1955	1384	2262	2292	3001	1623
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	26726	30598	29424	28015	44937	45247	49801	23691	46952	37832	25152	70213	79523	51701	21750	36321	38593	30403
YDR089W	IV	622112	624721	+	2610	437	680	699	650	529	1017	654	909	1154	1874	950	3888	1498	305	1474	1068	1264	1176
tD(GUC)D	IV	568964	569035	+	72	34	54	33	18	27	35	22	25	29	27	19	3	9	10	28	34	12	19
YDR275W	IV	1012252	1012959	+	708	1194	1436	875	1565	1776	1277	1035	1544	1373	2038	2127	4115	2458	1575	2219	1391	2812	1845
YDR043C	IV	542674	543369	-	696	2962	3675	5083	3960	3813	6256	2616	2933	5324	4027	3812	10672	5713	2538	4173	3009	4488	3580
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	6206	7533	5000	5566	4953	5063	3763	5714	4821	9616	9246	21929	9590	3417	9689	5183	11949	5362
YDR136C	IV	727711	728283	-	573	15	17	12	7	7	7	17	11	12	36	26	55	7	4	24	20	17	12
YDL066W	IV	334835	336121	+	1287	4844	7599	5319	22608	8379	8101	13210	11992	8144	18596	11132	25488	22324	5150	10374	14858	19317	8512
YDR302W	IV	1067731	1068390	+	660	1715	2035	1800	1780	2890	2426	2447	1794	2765	2057	1940	3749	3074	2599	1797	2009	2534	1787
YDR239C	IV	941057	943420	-	2364	439	668	506	1074	370	474	712	950	701	955	766	1472	1028	226	663	898	1232	598
YDR539W	IV	1512094	1513605	+	1512	812	1159	765	1223	1019	931	701	1138	974	1248	1547	3196	1744	1052	1371	951	2144	949
tK(CUU)D1	IV	1201750	1201822	+	73	3	10	5	1	12	2	1	2	7	6	1	4	4	3	0	3	1	6
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	7299	10735	9191	9172	9102	9106	6205	7660	7019	8840	10861	17228	9063	5451	9139	6737	13775	6880
YDR493W	IV	1436217	1436588	+	372	680	708	486	706	882	666	704	674	741	927	935	1736	1250	921	789	710	1318	567
YDR101C	IV	655686	657467	-	1782	223	441	319	885	163	487	680	559	554	1011	304	1388	1118	205	453	641	654	581
YDR182W-A	IV	829151	829354	+	204	153	138	136	94	157	148	100	140	175	100	135	293	246	88	126	136	112	158
YDR212W	IV	887232	888911	+	1680	2327	3575	2215	3337	2017	2543	2745	3004	2658	4459	3474	9911	5941	1935	3873	3221	5482	2770
YDR476C	IV	1410453	1411127	-	675	504	889	634	1082	423	507	515	640	333	888	975	1997	734	293	974	556	1581	452
YDL131W	IV	227393	228715	+	1323	1713	3224	2264	7604	2555	3285	5653	4315	3377	8419	3778	13619	11278	1897	5180	6050	7837	4050
YDR458C	IV	1380055	1382046	-	1992	2093	2476	1623	2102	2279	1761	2005	2427	2345	2447	3105	4604	3067	1734	2221	2327	3163	1886
YDR081C	IV	607304	610081	-	2778	571	1066	640	1457	595	799	944	1295	799	1363	1274	2536	1224	408	1193	1075	1580	864
YDL071C	IV	330666	331040	-	375	11	14	22	41	17	40	20	37	34	26	30	108	31	13	48	34	74	39
YDR113C	IV	680496	681617	-	1122	554	834	827	816	532	889	791	915	858	1655	867	2780	1315	284	1098	915	1532	1000
YDR168W	IV	790328	791848	+	1521	10551	6087	3716	3431	13164	5693	4770	3834	7583	5228	6436	14963	12600	11609	4475	3991	6720	3480
YDR520C	IV	1481085	1483403	-	2319	484	748	433	900	569	443	589	811	532	866	799	1629	857	321	716	677	912	515
YDR307W	IV	1075865	1077853	+	1989	1802	3053	1994	2049	1731	2109	1645	2608	2051	2301	2730	4133	2362	1051	2918	2329	2995	2093
YDR265W	IV	998864	999877	+	1014	1470	1813	981	1780	1788	1274	1297	1716	1248	1636	2027	3002	1794	1162	1575	1544	2757	1020
YDL076C	IV	320668	321552	-	885	1095	1409	1006	1377	1032	1153	1076	1385	1225	2198	1832	3779	1987	779	1764	1405	2192	1217
YDL006W	IV	439909	440754	+	846	1450	1634	1281	1662	1835	1484	1477	1538	1563	1907	2110	3439	2341	1080	1657	1582	2556	1312
YDL086W	IV	301413	302234	+	822	1586	2750	1727	2942	1523	1660	1668	2333	1579	3172	3311	6632	3238	1351	3421	2167	5140	2110
YDR238C	IV	937895	940816	-	2922	2635	3778	2760	3805	2312	2828	2673	3586	2738	4534	3724	9047	5233	1539	3811	3710	5377	2929
YDR077W	IV	600793	601809	+	1017	68788	105914	91431	66767	41748	65042	18800	36208	28908	39983	57811	103330	26040	16961	66080	17222	73354	26728
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	10376	8955	5590	7079	13588	6644	6343	7754	7206	6466	15825	7665	6588	12480	5522	8034	11851	4902
YDL023C	IV	411761	412081	-	321	18	11	21	8	4	21	7	10	9	20	7	8	10	8	20	8	10	9
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	9567	17092	16808	20383	10805	21204	24985	17215	20040	28075	14947	50935	42469	12074	18802	24917	27943	20893
YDR036C	IV	523211	524713	-	1503	458	723	434	766	349	432	436	646	399	734	777	1452	628	238	702	432	973	397
YDR057W	IV	565927	567555	+	1629	1672	2293	1509	1735	2064	1677	1572	2024	1730	1754	2163	3434	2728	1245	1844	1858	2945	1434
YDR513W	IV	1471017	1471448	+	432	9140	10025	7193	5115	9082	6866	4075	6646	6473	9563	11582	20623	7528	5180	10677	5193	14333	6943
YDR487C	IV	1428354	1428980	-	627	3874	6094	4457	8286	4596	5068	6420	6425	4982	7448	6802	13869	10047	3802	6461	6849	11507	4702
YDR066C	IV	581908	582498	-	591	1095	566	436	265	1601	552	588	336	773	518	689	1170	983	1249	466	509	731	422
YDR352W	IV	1181801	1182754	+	954	783	1744	1217	1800	822	1208	1476	1880	1361	1598	1637	2522	1539	627	1573	1688	2360	1454
YDR278C	IV	1017001	1017318	-	318	64	81	36	23	127	67	40	70	96	103	225	45	47	118	104	82	20	37
YDR079C-A	IV	603593	603811	-	219	10609	12777	9303	8755	15594	11145	11273	9752	11116	7275	15258	6624	6454	13104	6648	12932	12288	7189
YDR204W	IV	858137	859144	+	1008	1129	1622	900	1443	1051	821	850	1392	821	1732	1932	3740	1590	595	1942	1065	2996	910
YDL247W-A	IV	3762	3836	+	75	10	34	32	28	13	22	30	19	33	18	34	33	26	11	11	18	34	29
YDL024C	IV	408451	409857	-	1407	54	72	59	84	71	47	54	95	37	74	124	176	88	48	116	77	163	53
tA(AGC)D	IV	410379	410451	+	73	0	2	0	1	2	6	2	1	1	1	2	0	0	1	1	2	0	0
YDR109C	IV	673520	675667	-	2148	597	937	682	915	621	584	716	912	698	957	969	1914	1001	360	860	861	1241	699
YDR466W	IV	1395121	1397817	+	2697	918	1241	872	1333	953	854	924	1289	939	1348	1447	2839	1175	497	1217	1136	1957	899
YDR427W	IV	1322205	1323386	+	1182	8336	7018	3307	4223	8498	4600	4062	4854	4553	5189	7391	13970	9539	6419	5246	4185	6900	3133
YDL044C	IV	373967	375289	-	1323	542	658	444	683	614	555	553	611	609	779	764	1510	889	484	613	565	917	456
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	2886	459	88	84	945	67	35	90	90	822	1573	940	112	635	600	81	1079	110
YDR193W	IV	844554	844952	+	399	0	1	0	2	0	2	0	4	1	0	5	2	0	0	2	4	0	1
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	2375	2502	1815	1920	3265	2072	2061	2087	2284	1967	3259	3418	2630	2468	1978	2112	3184	1625
YDR377W	IV	1228611	1228916	+	306	47323	44666	29549	18733	63595	34619	27167	20410	27741	19564	37448	37964	29928	53110	22519	25788	34684	19579
YDR219C	IV	905455	906852	-	1398	933	1148	780	1183	779	1098	1025	1321	1131	2073	1523	3672	1644	436	1547	1203	1928	1224
YDR416W	IV	1298432	1301011	+	2580	1356	1351	873	1319	1621	1186	1486	1325	1244	1560	1209	2893	1758	919	1388	1172	1645	1050
YDR365C	IV	1204497	1206383	-	1887	1487	2238	1678	2922	1589	2326	3423	3439	3197	4500	3957	9103	5776	1627	3814	4651	6412	2969
YDL233W	IV	36797	38173	+	1377	417	619	482	599	380	370	437	521	366	848	658	1875	658	286	830	481	886	440
YDR287W	IV	1035995	1036873	+	879	795	1180	691	1092	833	735	648	1096	694	1452	1838	2670	1333	507	1379	841	2312	1021
YDR448W	IV	1356065	1357369	+	1305	492	777	582	837	625	800	622	721	744	1082	742	2029	1252	598	848	744	1055	770
YDR180W	IV	821295	825776	+	4482	602	685	296	877	663	505	614	973	534	939	946	1245	642	333	653	644	750	397
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	16	15	9	28	18	8	21	12	21	20	34	15	17	26	14	25	34	8
tT(AGU)D	IV	434264	434336	-	73	8	6	4	4	6	3	7	6	5	9	8	3	0	3	1	8	2	2
YDR294C	IV	1050459	1052228	-	1770	2502	6411	4470	6072	2403	3936	4083	5873	3951	4180	5161	8978	5162	1857	5416	5131	8497	4155
YDR198C	IV	852533	853972	-	1440	397	495	304	784	484	390	526	639	552	539	645	1066	818	396	428	573	722	391
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	582	806	549	723	714	511	586	752	602	980	1181	1618	796	484	943	583	1174	582
YDR501W	IV	1451353	1452918	+	1566	505	666	569	647	526	540	404	525	490	720	599	1167	573	371	576	526	752	419
YDL214C	IV	74446	76545	-	2100	638	138	140	69	309	139	40	110	185	432	499	942	89	161	670	52	295	154
YDR264C	IV	996029	998323	-	2295	5141	9614	4832	11729	6126	5535	8110	11165	6247	6604	11134	10963	7459	4000	7287	8802	14632	4849
YDR343C	IV	1159608	1161320	-	1713	13492	4177	284	498	2764	141	218	528	203	3146	10406	4295	903	4432	3425	828	10072	249
YDR373W	IV	1222759	1223331	+	573	18686	13547	9190	6614	31260	13915	12725	6969	15408	7922	10301	19001	16286	23545	6994	8945	11911	7026
YDR354W	IV	1184747	1185889	+	1143	1477	1850	1531	4942	2328	1967	4895	3416	2765	5776	3574	8755	6696	1841	3593	5023	7096	2662
YDR246W	IV	954288	954947	+	660	837	1217	716	1294	659	753	731	1010	635	1989	1789	3659	1444	464	1780	922	2689	889
YDR428C	IV	1323454	1324239	-	786	226	427	270	471	213	345	340	405	344	633	572	1072	577	224	540	399	860	390
YDR157W	IV	769931	770332	+	402	6	6	9	7	8	13	21	3	16	13	1	30	10	7	5	8	8	6
YDR316W	IV	1093763	1095178	+	1416	808	1075	648	923	795	749	714	1111	794	1164	1363	2049	1233	628	1040	1043	1572	798
YDL142C	IV	201719	202570	-	852	1069	1338	908	1127	1101	863	874	1153	1029	1409	1395	2626	1425	776	1399	1077	2005	902
YDR253C	IV	963990	964565	-	576	617	950	1034	675	815	1650	502	1065	1578	1177	813	3053	1448	1069	1081	960	1434	1382
YDL112W	IV	258915	263225	+	4311	664	868	809	1238	649	1067	1276	1221	1087	1245	802	2334	1852	522	740	1233	1240	865
YDR545W	IV	1526321	1531711	+	5391	0	6	15	17	4	3	11	7	8	8	10	13	8	0	9	2	22	8
YDL187C	IV	125509	125838	-	330	23	41	26	42	24	28	52	37	33	73	100	139	73	24	63	62	99	32
YDL138W	IV	213351	215642	+	2292	289	968	703	1483	491	812	907	1298	875	844	809	1866	976	247	1098	970	1452	926
YDR528W	IV	1494586	1495857	+	1272	102	512	413	889	119	379	414	537	425	337	225	896	392	115	344	380	472	390
YDR284C	IV	1030550	1031419	-	870	2233	3660	2536	2385	2484	2547	2400	3609	2716	3329	4601	6878	2989	2259	4686	3354	6539	2867
YDR050C	IV	555726	556472	-	747	58061	119739	61825	150286	64341	76241	88489	118233	70783	132636	137411	286082	162316	58488	147854	115090	219417	98439
YDL010W	IV	432330	433025	+	696	2344	5156	3498	4471	2526	3182	2142	3702	2863	2566	4013	4097	2488	1148	2766	2867	4425	2782
YDL065C	IV	336249	337277	-	1029	1354	1648	935	1535	1397	1181	1237	1685	1299	2160	2143	3904	2307	1056	1594	1542	2967	1252
YDR349C	IV	1172386	1174176	-	1791	1572	4599	3288	4725	1421	2849	3132	3833	2627	2884	3430	5285	3291	1174	3267	3418	5380	2664
YDL098C	IV	284581	285165	-	585	1686	1398	768	932	2262	1048	872	976	1269	1092	1223	2244	1780	1657	873	842	1527	683
YDL234C	IV	34237	36477	-	2241	3452	3714	2566	2506	3129	2375	1556	2351	1887	2923	3567	6302	3052	1828	3103	1985	4346	1621
YDR118W	IV	685882	687840	+	1959	800	723	476	669	915	599	682	713	774	1013	939	1722	950	667	834	700	998	665
YDR118W-A	IV	687768	687884	+	117	7	19	19	14	13	11	19	11	6	5	15	28	27	15	9	15	10	8
YDR159W	IV	771877	775782	+	3906	835	1171	812	1595	919	907	1172	1527	1098	1540	1500	2580	1520	515	1254	1296	1756	895
YDR111C	IV	678241	679764	-	1524	794	1323	922	1656	908	1160	1347	1370	1162	1981	998	3096	2366	617	1263	1467	1623	1030
YDR128W	IV	709549	712995	+	3447	764	1164	607	1252	838	681	788	1170	811	1183	1205	2542	1432	593	1173	900	1820	822
YDL034W	IV	391783	392127	+	345	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	2
YDR065W	IV	580687	581784	+	1098	376	512	274	633	364	252	408	638	316	603	596	871	512	297	445	474	654	364
YDL004W	IV	443029	443511	+	483	3390	4939	3163	4240	3225	3717	2854	3660	2963	5367	5898	11064	6813	2843	5184	3432	7412	3424
YDR024W	IV	491017	491502	+	486	70	79	70	87	41	139	111	37	64	149	42	210	360	57	98	115	55	60
YDL171C	IV	149203	155640	-	6438	2686	3970	4657	11927	3477	5657	8092	9747	7156	7841	6310	18264	10841	2050	7443	9322	9685	7352
YDR083W	IV	612073	613251	+	1179	292	347	267	597	255	477	485	446	539	766	264	929	928	245	345	537	416	434
YDR457W	IV	1369790	1379596	+	9807	6628	3741	1909	7847	4283	3449	4994	10329	4078	4645	8369	9203	4672	1856	4107	4440	6933	2741
YDR014W	IV	474046	475989	+	1944	407	428	223	574	404	291	396	505	348	563	567	830	569	247	393	471	547	323
YDR206W	IV	862054	864708	+	2655	1789	2093	1678	2742	1718	1727	2412	2154	1833	2419	2066	4167	2487	1198	2081	2112	2395	1591
YDR478W	IV	1414575	1415171	+	597	949	660	475	612	1336	587	987	449	696	811	579	1378	1496	1077	525	698	737	504
YDR169C	IV	792348	793889	-	1542	866	1303	916	1696	856	951	1231	1673	990	1927	1981	3662	1705	703	1713	1298	2657	1078
